Date : 2026-02-01 08:36:41
Directory : c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard
Total : 116 files,  17151 codes, 508 comments, 1758 blanks, all 19417 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\EmailIcon.jsx                  | JavaScript JSX |         20 |          0 |          3 |         23 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\NotificationIcon.jsx           | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Header_Icons\ThemeIcon.jsx                  | JavaScript JSX |         34 |          2 |          3 |         39 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\HomeIcon.jsx                                | JavaScript JSX |          5 |          0 |          0 |          5 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\IncomeIcon.jsx                              | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\DollarIcon.jsx                 | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\YearlyIncomeIcone.jsx          | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\bankIcon.jsx                   | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\Profit_Icons\walletIcon.jsx                 | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\ReportIcon.jsx                              | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Icons\SettingsIcon.jsx                            | JavaScript JSX |          1 |          0 |          0 |          1 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\IncomePageComponents\IncomeTable.jsx              | JavaScript JSX |        356 |          0 |         40 |        396 |
| c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Notification.jsx                                  | JavaScript JSX |        156 |          5 |         17 |        178 |
