"filename", "language", "HTML", "Markdown", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\NotificationMenuStyle.css", "PostCSS", 0, 0, 0, 0, 0, 175, 0, 10, 28, 213
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\DebtsPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, -15, 0, 0, -3, -18
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\ExpensePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\IncomePageStyle.css", "PostCSS", 0, 0, 0, 0, 0, -215, 0, -4, -34, -253
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\LegalPages.css", "PostCSS", 0, 0, 0, 0, 0, -44, 0, 0, -8, -52
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\LoginPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, -196, 0, -2, -26, -224
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\ReportPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, -142, 0, -4, -23, -169
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\PagesStyle\SettingsPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, -277, 0, -13, -48, -338
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\RecentTransactionsStyle.css", "PostCSS", 0, 0, 0, 0, 0, -127, 0, -5, -20, -152
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\ReportProblemPage.css", "PostCSS", 0, 0, 0, 0, 0, 41, 0, 0, 7, 48
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\ReportsPageStyles\ReportPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 142, 0, 4, 23, 169
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\SettingsPageStyles\SettingsPageStyle.css", "PostCSS", 0, 0, 0, 0, 0, 289, 0, 7, 52, 348
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\SharedManagementPage.css", "PostCSS", 0, 0, 0, 0, 0, 137, 0, 3, 20, 160
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\TableStyle.css", "PostCSS", 0, 0, 0, 0, 0, 228, 0, 11, 36, 275
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\UpcomingPaymentsStyle.css", "PostCSS", 0, 0, 0, 0, 0, -414, 0, -11, -61, -486
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\analyticsStyle.css", "PostCSS", 0, 0, 0, 0, 0, -29, 0, -4, -1, -34
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\headerStyle.css", "PostCSS", 0, 0, 0, 0, 0, 138, 0, 4, 29, 171
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\quickInfoStyle.css", "PostCSS", 0, 0, 0, 0, 0, -86, 0, -1, -15, -102
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\Styles\sideBarStyle.css", "PostCSS", 0, 0, 0, 0, 0, 17, 0, 6, 4, 27
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\addIncomeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, -46, 0, 0, -2, -12, -60
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\header.jsx", "JavaScript JSX", 0, 0, 0, 0, -39, 0, 0, 1, 4, -34
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\components\sideBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\contexts\FinancialContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 113, 0, 0, 7, 19, 139
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\hooks\useFinancialData.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\index.css", "PostCSS", 0, 0, 0, 0, 0, -2, 0, -2, 5, 1
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\ar.json", "JSON", 0, 0, 185, 0, 0, 0, 0, 0, 0, 185
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\locales\en.json", "JSON", 0, 0, 171, 0, 0, 0, 0, 0, 0, 171
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\src\security\rateLimiter.js", "JavaScript", 0, 0, 0, 53, 0, 0, 0, 3, 10, 66
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vite.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 0, -1, 12
"c:\Users\Almonther\Documents\My_Projects\MoneyManagerDashboard\vitest.config.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"Total", "-", 56, 120, 464, 83, 1480, 2739, 25, 106, 775, 5848
